Department,count
romancelanguagesliteratures,337
neareasternlanguagescivilizations,272
history,199
eastasianlanguagescivilizations,183
englishlanguageliterature,154
economics,150
southasianlanguagescivilizations,148
genderstudies,145
biologicalsciences,144
anthropology,134
religiousstudies,133
environmentalstudies,123
slaviclanguagesliteratures,123
publicpolicystudies,107
arthistory,104
MediaArtsandDesign,102
cegu,98
classicalstudies,97
creativewriting,96
computerscience,90
scienceandmedicinehips,88
globalstudies,87
music,83
comparativeliterature,81
mathematics,81
visualarts,80
linguistics,79
cinemamediastudies,79
fundamentalsissuesandtexts,77
latinamericanstudies,77
chemistry,76
politicalscience,76
humanrights,74
molecularengineering,68
medievalstudies,63
rdin,63
psychology,62
architecturalstudies,59
neuroscience,53
jewishstudies,52
theaterperformancestudies,52
comparativehumandevelopment,51
statistics,49
lawlettersandsociety,48
sociology,45
philosophy,45
geophysicalsciences,42
germanicstudies,40
physics,36
inequalityandsocialchange,31
astronomyastrophysics,30
datascience,24
geographicalstudies,22
environmentalscience,21
cognitivescience,20
computationalsocialscience,17
democracystudies,15
digitalstudies,12
sciencecommunicationpublicdiscourse,10
Inquiryresearchhumanities,9
norwegianstudies,8
yiddish,6
